train_id,train_type,section,arrival_min,departure_min,priority
EXP101,Express,S01,480,495,5
EXP102,Express,S01,540,555,5
FRT201,Freight,S01,600,630,2
EXP103,Express,S01,690,705,4
EXP104,Express,S02,510,525,5
EXP105,Express,S02,570,585,4
FRT202,Freight,S02,630,660,2
EXP106,Express,S02,720,735,5
EXP107,Express,S03,480,495,5
EXP108,Express,S03,555,570,4
FRT203,Freight,S03,615,645,2
EXP109,Express,S03,690,705,5
EXP110,Express,S04,525,540,4
EXP111,Express,S04,600,615,5
FRT204,Freight,S04,660,690,2
EXP112,Express,S04,750,765,4
EXP113,Express,S05,495,510,5
EXP114,Express,S05,570,585,5
FRT205,Freight,S05,630,660,2
EXP115,Express,S05,720,735,4
